Alloy,Processing,Temperature (°C),Status,Ni (wt%),Cr (wt%),Co (wt%),Mo (wt%),W (wt%),Al (wt%),Ti (wt%),Ta (wt%),Nb (wt%),Re (wt%),Hf (wt%),C (wt%),B (wt%),Zr (wt%),Target YS (MPa),Predicted YS (MPa),YS Achievement (%),YS 95% CI (MPa),Target UTS (MPa),Predicted UTS (MPa),UTS Achievement (%),UTS 95% CI (MPa),Target El (%),Predicted El (%),El Achievement (%),El 95% CI (%),Target EM (GPa),Predicted EM (GPa),EM Achievement (%),EM 95% CI (GPa),Target Density (g/cm³),Predicted Density (g/cm³),Target γ' (vol%),Predicted γ' (vol%),Md_avg,Md_matrix,TCP Risk,γ/γ' Misfit (%),Refractory (wt%),Al+Ti (wt%),Phase 1 Attempts,Phase 1 Best TCP,Guard Fixes,Tuner Converged,Tuner Steps,Corrections Applied,Key Issues,Design Time (s)
Alloy_A,wrought,20,INCOMPLETE,57.5,13.0,15.0,1.5,3.5,4.0,1.5,2.5,1.5,,,,,,1080,1079.5,100.0,971.5–1187.5,1550,1461.3,94.3,1315.2–1607.4,,17.1,,14.5–19.7,200,207.0,103.5,196.7–217.4,,8.05,,45.6,0.960,0.912,Moderate,0.749,9.0,5.5,1,Moderate,1 fixes,False,7,YS: 946.3→1079.5; UTS: 1281.0→1461.3,None,28.3
Alloy_B,wrought,20,INCOMPLETE,53.1,13.0,21.0,,3.5,4.5,1.4,2.5,1.0,,,,,,1150,1072.4,93.3,965.2–1179.6,1640,1452.2,88.5,1307.0–1597.4,,16.0,,13.6–18.4,210,201.1,95.8,191.0–211.1,,7.96,,45.5,0.959,0.904,Moderate,0.844,7.0,5.9,4,Moderate,1 fixes,False,4,YS: 915.8→1072.4; UTS: 1240.3→1452.2,Misfit 0.844% > 0.8%; UTS 89% of target,24.2
Alloy_C,wrought,20,INCOMPLETE,59.8,11.0,17.0,2.0,1.7,6.0,0.5,1.0,1.0,,,,,,1180,1114.4,94.4,1003.0–1225.8,1610,1582.7,98.3,1424.4–1741.0,,17.6,,15.0–20.2,220,197.9,89.9,188.0–207.8,,7.72,,48.1,0.959,0.902,Moderate,0.535,5.7,6.5,5,Elevated,1 fixes,False,2,YS: 836.5→1114.4; UTS: 1188.0→1582.7,None,24.6
Alloy_D,wrought,20,INCOMPLETE,55.0,13.0,18.0,2.0,4.0,4.5,1.0,1.5,1.0,,,,,,1230,837.5,68.1,753.8–921.2,1600,1117.2,69.8,1005.5–1228.9,,16.0,,13.6–18.4,210,207.3,98.7,196.9–217.7,,8.0,,40.6,0.958,0.913,Moderate,0.607,8.5,5.5,1,Moderate,1 fixes,False,2,YS: 930.5→837.5,YS 68% of target; UTS 70% of target,16.2
Alloy_E,wrought,20,INCOMPLETE,57.5,11.0,18.0,3.0,1.5,5.0,1.0,2.0,1.0,,,,,,1080,1071.8,99.2,964.6–1179.0,1560,1499.0,96.1,1349.1–1648.9,,17.6,,15.0–20.2,220,203.2,92.4,193.0–213.4,,7.88,,46.2,0.958,0.904,Moderate,0.616,7.5,6.0,1,Moderate,3 fixes,False,2,YS: 876.5→1071.8; UTS: 1225.9→1499.0,None,16.3
Alloy_F,wrought,20,INCOMPLETE,56.6,14.2,19.2,1.2,0.8,5.2,0.4,0.8,0.6,0.2,0.5,0.1,0.1,0.1,1150,952.7,82.8,857.4–1048.0,1600,1372.4,85.8,1235.2–1509.6,,17.9,,15.2–20.6,210,204.5,97.4,194.3–214.8,,7.73,,36.2,0.895,0.895,Low,0.609,3.6,5.6,1,Low,None,False,1,YS: 801.3→952.7; UTS: 1154.3→1372.4; El: 21.7→17.9,YS 83% of target; UTS 86% of target,14.7
Alloy_G,wrought,20,INCOMPLETE,59.0,13.5,15.0,2.0,1.5,4.0,2.0,1.5,1.5,,,,,,1090,1074.6,98.6,967.1–1182.1,1590,1496.7,94.1,1347.0–1646.4,,25.0,,21.2–28.8,210,208.6,99.3,198.1–219.0,,7.9,,46.3,0.959,0.909,Moderate,0.774,6.5,6.0,1,Moderate,None,False,4,YS: 885.2→1074.6; UTS: 1232.9→1496.7,None,19.3
Alloy_H,wrought,20,INCOMPLETE,60.0,13.0,16.0,2.0,0.5,4.5,0.5,2.0,1.5,,,,,,1040,986.5,94.9,887.9–1085.2,1520,1413.0,93.0,1271.7–1554.3,,17.1,,14.5–19.7,210,205.8,98.0,195.5–216.1,,7.91,,38.9,0.897,0.897,Low,0.686,6.0,5.0,1,Low,None,False,15,YS: 829.8→986.5; UTS: 1188.5→1413.0; El: 20.3→17.1,None,36.2
Alloy_I,wrought,20,INCOMPLETE,63.5,12.5,16.5,0.5,,3.0,1.5,1.5,1.0,,,,,,830,890.5,107.3,801.5–979.5,1240,1253.5,101.1,1128.2–1378.8,25,19.5,78.0,16.6–22.4,210,203.1,96.7,193.0–213.3,,8.05,,30.3,0.868,0.868,Low,0.877,3.0,4.5,3,Low,None,False,8,YS: 797.0→890.5; UTS: 1121.8→1253.5; El: 24.6→19.5,Misfit 0.877% > 0.8%; El 78% of target,29.5
Alloy_J,wrought,760,INCOMPLETE,59.0,12.0,16.0,2.0,3.0,4.0,1.0,2.0,1.0,,,,,,750,810.0,108.0,729.0–891.0,900,938.0,104.2,844.2–1031.8,15,24.0,160.0,20.4–27.6,170,158.9,93.5,150.9–166.8,,8.07,,37.8,0.898,0.898,Low,0.643,8.0,5.0,1,Low,None,False,1,None,None,11.7
Alloy_K,wrought,871,INCOMPLETE,60.0,12.0,15.0,2.5,4.0,4.5,0.5,1.0,0.5,,,,,,520,514.8,99.0,463.3–566.3,620,610.2,98.4,549.2–671.2,20,16.0,80.0,13.6–18.4,150,148.2,98.8,140.8–155.6,,8.04,,33.9,0.901,0.901,Low,0.41,8.0,5.0,1,Low,None,False,2,None,El 80% of target,14.7
Alloy_L,cast,20,INCOMPLETE,54.0,13.5,20.0,2.0,1.5,4.0,2.0,1.5,1.0,0.5,,,,,850,833.8,98.1,750.4–917.2,1100,1031.8,93.8,928.6–1135.0,8,6.0,75.0,5.1–6.9,210,204.0,97.2,193.8–214.2,,7.92,,43.2,0.958,0.908,Moderate,0.789,6.5,6.0,5,Moderate,None,False,4,None,El 75% of target,28.2
Alloy_M,cast,760,INCOMPLETE,57.5,13.0,15.0,2.0,4.5,4.0,2.0,2.0,,,,,,,700,860.0,122.9,774.0–946.0,870,1070.0,123.0,963.0–1177.0,8,6.0,75.0,5.1–6.9,175,160.7,91.8,152.7–168.8,,8.05,,42.8,0.959,0.912,Moderate,0.6,8.5,6.0,5,Moderate,None,False,2,YS: 909.8→860.0; UTS: 1013.8→1070.0,El 75% of target,29.6
Alloy_N,cast,871,INCOMPLETE,59.0,12.0,15.0,2.0,4.5,4.0,1.0,2.5,,,,,,,580,416.2,71.8,374.6–457.8,720,550.1,76.4,495.1–605.1,10,7.0,70.0,6.0–8.1,160,147.3,92.0,139.9–154.6,,8.15,,35.9,0.9,0.9,Low,0.527,9.0,5.0,5,Low,None,False,4,YS: 571.7→416.2; UTS: 679.2→588.8,YS 72% of target; UTS 76% of target; El 70% of target,31.8
Alloy_O,wrought,20,INCOMPLETE,60.0,12.0,17.0,3.0,,4.0,1.0,1.5,1.5,,,,,,900,970.5,107.8,873.5–1067.5,1350,1389.2,102.9,1250.3–1528.1,25,17.5,70.0,14.9–20.1,215,207.9,96.7,197.5–218.3,,7.95,,37.4,0.892,0.892,Low,0.703,6.0,5.0,2,Low,None,False,1,YS: 827.9→970.5; UTS: 1185.1→1389.2; El: 20.2→17.5,El 70% of target,16.0
