Alloy,Processing,Temperature (°C),Status,Ni (wt%),Cr (wt%),Co (wt%),Mo (wt%),W (wt%),Al (wt%),Ti (wt%),Ta (wt%),Nb (wt%),Re (wt%),C (wt%),B (wt%),Zr (wt%),Target YS (MPa),Predicted YS (MPa),YS Achievement (%),YS 95% CI (MPa),Target UTS (MPa),Predicted UTS (MPa),UTS Achievement (%),UTS 95% CI (MPa),Target El (%),Predicted El (%),El Achievement (%),El 95% CI (%),Target EM (GPa),Predicted EM (GPa),EM Achievement (%),EM 95% CI (GPa),Target Density (g/cm³),Predicted Density (g/cm³),Target γ' (vol%),Predicted γ' (vol%),Md_avg,Md_matrix,TCP Risk,γ/γ' Misfit (%),Refractory (wt%),Al+Ti (wt%),Phase 1 Attempts,Phase 1 Best TCP,Guard Fixes,Tuner Converged,Tuner Steps,Corrections Applied,Key Issues,Design Time (s)
Alloy_A,wrought,20,INCOMPLETE,54.49,12.0,18.0,3.0,2.37,3.5,2.0,3.0,1.5,,0.06,0.01,0.07,1080,1087.2,100.7,978.5–1195.9,1550,1372.5,88.5,1235.2–1509.8,,17.3,,14.7–19.9,200,207.7,103.9,197.3–218.1,,8.09,,46.2,0.960,0.91,Moderate,0.519,9.87,5.5,1,Moderate,None,False,15,YS: 953.4→1087.2; UTS: 1282.5→1462.4,UTS 89% of target,162.3
Alloy_B,wrought,20,INCOMPLETE,53.86,12.5,20.5,1.5,1.5,4.5,1.5,2.2,1.5,0.3,0.06,0.01,0.07,1150,1088.9,94.7,980.0–1197.8,1640,1374.8,83.8,1237.3–1512.3,,17.8,,15.1–20.5,210,204.4,97.3,194.2–214.6,,7.89,,47.3,0.960,0.904,Moderate,0.533,7.0,6.0,4,Moderate,None,False,4,YS: 905.1→1088.9; UTS: 1248.1→1501.6,UTS 84% of target,300.9
Alloy_C,wrought,20,INCOMPLETE,55.36,12.0,18.0,1.5,4.0,3.0,2.0,2.0,1.0,1.0,0.06,0.01,0.07,1180,851.1,72.1,766.0–936.2,1610,1101.9,68.4,991.7–1212.1,,19.0,,16.1–21.9,220,200.5,91.1,190.5–210.5,,8.23,,37.3,0.897,0.897,Low,0.498,9.5,5.0,1,Low,None,False,15,YS: 945.7→851.1,YS 72% of target; UTS 68% of target,239.4
Alloy_D,wrought,20,INCOMPLETE,53.86,13.0,18.0,2.0,4.0,3.5,2.0,2.0,1.5,,0.06,0.01,0.07,1230,860.2,69.9,774.2–946.2,1600,1111.5,69.5,1000.4–1222.7,,17.6,,15.0–20.2,210,206.8,98.5,196.5–217.1,,8.09,,43.5,0.960,0.912,Moderate,0.493,9.5,5.5,1,Moderate,None,False,3,YS: 955.8→860.2,YS 70% of target; UTS 69% of target,876.0
Alloy_E,wrought,20,INCOMPLETE,52.86,12.0,17.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,0.06,0.01,0.07,1080,879.7,81.5,791.7–967.7,1560,1125.4,72.1,1012.9–1237.9,,17.6,,15.0–20.2,220,199.5,90.7,189.5–209.5,,8.33,,41.1,0.957,0.915,Moderate,0.365,13.0,5.0,1,Moderate,None,False,2,YS: 977.4→879.7,YS 81% of target; UTS 72% of target,487.9
Alloy_F,wrought,20,INCOMPLETE,56.36,12.0,17.0,2.5,3.0,3.0,2.0,2.0,1.0,1.0,0.06,0.01,0.07,1150,873.5,76.0,786.1–960.9,1600,1164.4,72.8,1048.0–1280.8,,18.6,,15.8–21.4,210,206.3,98.2,196.0–216.6,,8.2,,37.5,0.899,0.899,Low,0.46,9.5,5.0,1,Low,None,False,15,None,YS 76% of target; UTS 73% of target,189.6
Alloy_G,wrought,20,INCOMPLETE,53.27,12.5,18.0,2.0,3.5,3.2,2.2,2.2,1.5,1.5,0.06,0.01,0.06,1090,884.8,81.2,796.3–973.3,1590,1120.1,70.4,1008.1–1232.1,,17.2,,14.6–19.8,210,200.1,95.3,190.1–210.1,,8.19,,43.5,0.958,0.911,Moderate,0.469,10.7,5.4,1,Moderate,None,False,2,YS: 983.1→884.8,YS 81% of target; UTS 70% of target,447.7
Alloy_H,wrought,20,INCOMPLETE,58.43,12.0,17.0,2.5,1.43,4.0,1.0,2.5,1.0,,0.06,0.01,0.07,1040,989.2,95.1,890.3–1088.1,1520,1205.8,79.3,1085.2–1326.4,,18.7,,15.9–21.5,210,209.3,99.7,198.8–219.8,,8.02,,38.5,0.894,0.894,Low,0.447,7.43,5.0,1,Low,None,False,15,YS: 863.8→989.2,UTS 79% of target,230.5
Alloy_I,wrought,20,INCOMPLETE,62.44,12.0,18.0,0.5,,3.0,1.0,2.0,1.0,,0.02,0.01,0.03,830,727.8,87.7,655.0–800.6,1240,1038.3,83.7,934.5–1142.1,25,25.2,100.8,21.4–29.0,210,201.7,96.0,191.6–211.8,,8.1,,27.2,0.863,0.863,Low,0.666,3.5,4.0,2,Low,None,False,12,None,YS 88% of target; UTS 84% of target,194.1
Alloy_J,wrought,760,INCOMPLETE,54.43,12.0,17.0,4.5,4.0,3.0,2.0,2.0,1.0,,0.03,0.01,0.03,750,878.4,117.1,790.6–966.2,900,1002.4,111.4,902.2–1102.6,15,17.7,118.0,15.0–20.4,170,160.6,94.5,152.6–168.6,,8.23,,37.9,0.954,0.915,Moderate,0.36,11.5,5.0,1,Moderate,None,False,6,None,None,233.4
