Alloy,Processing,Temperature (°C),Status,Ni (wt%),Cr (wt%),Co (wt%),Mo (wt%),W (wt%),Al (wt%),Ti (wt%),Ta (wt%),Nb (wt%),Re (wt%),Hf (wt%),C (wt%),B (wt%),Zr (wt%),Target YS (MPa),Predicted YS (MPa),YS Achievement (%),YS 95% CI (MPa),Target UTS (MPa),Predicted UTS (MPa),UTS Achievement (%),UTS 95% CI (MPa),Target El (%),Predicted El (%),El Achievement (%),El 95% CI (%),Target EM (GPa),Predicted EM (GPa),EM Achievement (%),EM 95% CI (GPa),Target Density (g/cm³),Predicted Density (g/cm³),Target γ' (vol%),Predicted γ' (vol%),Md_avg,Md_matrix,TCP Risk,γ/γ' Misfit (%),Refractory (wt%),Al+Ti (wt%),Phase 1 Attempts,Phase 1 Best TCP,Guard Fixes,Tuner Converged,Tuner Steps,Corrections Applied,Key Issues,Design Time (s)
Alloy_A,wrought,20,INCOMPLETE,56.49,12.5,18.0,2.0,1.88,3.0,2.0,2.5,1.5,,,0.06,0.01,0.06,1080,1004.0,93.0,903.6–1104.4,1550,1320.6,85.2,1188.5–1452.7,,19.5,,16.6–22.4,200,206.6,103.3,196.3–216.9,,8.12,,39.7,0.895,0.895,Low,0.627,7.88,5.0,1,Low,None,False,15,YS: 875.8→1004.0; UTS: 1230.5→1410.7,UTS 85% of target,303.1
Alloy_B,wrought,20,INCOMPLETE,55.37,14.0,18.0,1.5,0.5,4.0,2.0,2.0,1.5,1.0,,0.06,0.01,0.06,1150,1083.4,94.2,975.1–1191.7,1640,1374.6,83.8,1237.1–1512.1,,18.0,,15.3–20.7,210,207.5,98.8,197.1–217.9,,7.89,,46.6,0.960,0.907,Moderate,0.522,6.5,6.0,1,Moderate,None,False,10,YS: 913.9→1083.4; UTS: 1257.9→1491.3,UTS 84% of target,882.1
Alloy_C,wrought,20,INCOMPLETE,53.27,13.0,20.0,1.2,3.0,3.8,2.2,2.5,0.9,,,0.06,0.01,0.06,1180,1077.3,91.3,969.6–1185.0,1610,1368.9,85.0,1232.0–1505.8,,18.2,,15.5–20.9,220,204.2,92.8,194.0–214.4,,8.0,,45.8,0.959,0.906,Moderate,0.562,7.6,6.0,4,Moderate,None,False,1,YS: 925.1→1077.3; UTS: 1264.9→1473.0,UTS 85% of target,465.4
Alloy_D,wrought,20,INCOMPLETE,51.87,13.5,18.5,2.5,3.0,3.0,2.0,2.5,1.5,1.5,,0.06,0.01,0.06,1230,903.2,73.4,812.9–993.5,1600,1128.6,70.5,1015.7–1241.5,,17.8,,15.1–20.5,210,204.0,97.1,193.8–214.2,,8.21,,40.3,0.957,0.915,Moderate,0.482,11.0,5.0,1,Moderate,None,False,15,YS: 1003.6→903.2,YS 73% of target; UTS 71% of target,487.9
Alloy_E,wrought,20,INCOMPLETE,57.37,12.0,18.0,1.5,1.0,3.0,2.0,3.0,2.0,,,0.06,0.01,0.06,1080,1037.0,96.0,933.3–1140.7,1560,1331.4,85.3,1198.3–1464.5,,19.7,,16.7–22.7,220,206.6,93.9,196.3–216.9,,8.1,,42.9,0.889,0.889,Low,0.731,7.5,5.0,1,Low,None,False,10,YS: 874.2→1037.0; UTS: 1217.9→1445.0,UTS 85% of target,773.3
Alloy_F,wrought,20,INCOMPLETE,52.37,13.0,19.0,2.0,3.0,3.0,2.5,2.5,1.5,1.0,,0.06,0.01,0.06,1150,924.0,80.3,831.6–1016.4,1600,1228.9,76.8,1106.0–1351.8,,17.2,,14.6–19.8,210,203.8,97.0,193.6–214.0,,8.16,,44.5,0.960,0.911,Moderate,0.559,10.0,5.5,1,Moderate,None,False,4,None,YS 80% of target; UTS 77% of target,227.5
Alloy_G,wrought,20,INCOMPLETE,56.87,13.0,19.0,,1.5,3.0,2.5,2.5,1.5,,,0.06,0.01,0.06,1090,1031,94.6,927.9–1134.1,1590,1396.2,87.8,1256.6–1535.8,,16.8,,14.3–19.3,210,203.6,97.0,193.4–213.8,,8.04,,43.1,0.886,0.886,Low,0.781,5.5,5.5,1,Low,None,False,11,YS: 832.7→1031.0; UTS: 1247.7→1422.0; El: 21.0→15.9,UTS 88% of target,181.4
Alloy_H,wrought,20,INCOMPLETE,57.99,12.0,15.0,3.0,2.87,3.5,2.5,2.0,1.0,,,0.06,0.01,0.07,1040,1092.9,105.1,983.6–1202.2,1520,1430.9,94.1,1287.8–1574.0,,16.2,,13.8–18.6,210,209.1,99.6,198.6–219.6,,8.04,,46.5,0.958,0.909,Moderate,0.423,8.87,6.0,1,Moderate,1 fixes,False,3,YS: 966.7→1092.9; UTS: 1343.2→1518.7,None,145.8
Alloy_I,wrought,20,INCOMPLETE,62.94,12.0,15.0,3.5,,2.5,1.0,2.0,1.0,,,0.02,0.01,0.03,830,745.6,89.8,671.0–820.2,1240,1051.5,84.8,946.4–1156.7,25,24.6,98.4,20.9–28.3,210,207.5,98.8,197.1–217.9,,8.22,,23.8,0.875,0.875,Low,0.493,6.5,3.5,3,Low,None,False,15,None,UTS 85% of target,293.8
Alloy_J,wrought,760,INCOMPLETE,57.93,12.0,17.0,4.5,,4.0,1.5,2.0,1.0,,,0.03,0.01,0.03,750,738.7,98.5,664.8–812.6,900,874.2,97.1,786.8–961.6,15,18.9,126.0,16.1–21.7,170,163.7,96.3,155.5–171.9,,7.94,,41.2,0.949,0.904,Moderate,0.383,7.5,5.5,1,Moderate,None,False,3,YS: 820.8→738.7,None,125.7
