Alloy,Processing,Temperature (°C),Status,Ni (wt%),Cr (wt%),Co (wt%),Mo (wt%),W (wt%),Al (wt%),Ti (wt%),Ta (wt%),Nb (wt%),Re (wt%),Fe (wt%),C (wt%),B (wt%),Zr (wt%),Target YS (MPa),Predicted YS (MPa),YS Achievement (%),YS 95% CI (MPa),Target UTS (MPa),Predicted UTS (MPa),UTS Achievement (%),UTS 95% CI (MPa),Target El (%),Predicted El (%),El Achievement (%),El 95% CI (%),Target EM (GPa),Predicted EM (GPa),EM Achievement (%),EM 95% CI (GPa),Target Density (g/cm³),Predicted Density (g/cm³),Target γ' (vol%),Predicted γ' (vol%),Md_avg,Md_matrix,TCP Risk,γ/γ' Misfit (%),Refractory (wt%),Al+Ti (wt%),Phase 1 Attempts,Phase 1 Best TCP,Guard Fixes,Tuner Converged,Tuner Steps,Corrections Applied,Key Issues,Design Time (s)
Alloy_A,wrought,20,INCOMPLETE,52.97,12.5,18.0,2.5,3.5,3.2,2.2,2.0,1.5,1.5,,0.06,0.01,0.06,1080,906.0,83.9,815.4–996.6,1550,1178.5,76.0,1060.7–1296.3,,17.2,,14.6–19.8,200,201.2,100.6,191.1–211.3,,8.19,,43.0,0.960,0.914,Moderate,0.437,11.0,5.4,1,Moderate,None,False,2,None,YS 84% of target; UTS 76% of target,214.1
Alloy_B,wrought,20,INCOMPLETE,54.87,14.0,20.0,1.0,1.5,4.0,1.0,2.5,1.0,,,0.06,0.01,0.06,1150,973.0,84.6,875.7–1070.3,1640,1311.2,80.0,1180.1–1442.3,,17.6,,15.0–20.2,210,205.5,97.9,195.2–215.8,,7.97,,37.0,0.896,0.896,Low,0.544,6.0,5.0,1,Low,None,False,3,YS: 859.5→973.0; UTS: 1230.0→1392.0; El: 20.6→17.6,YS 85% of target; UTS 80% of target,403.4
Alloy_C,wrought,20,INCOMPLETE,50.07,13.0,21.5,2.3,4.0,3.3,2.3,1.8,0.8,0.8,,0.06,0.01,0.06,1180,819.8,69.5,737.8–901.8,1610,1131.1,70.3,1018.0–1244.2,,17.7,,15.0–20.4,220,204.5,93.0,194.3–214.7,,8.13,,40.2,0.959,0.912,Moderate,0.472,9.7,5.6,2,Moderate,None,False,2,None,YS 69% of target; UTS 70% of target,436.9
Alloy_D,wrought,20,INCOMPLETE,56.36,12.0,17.0,2.5,3.0,3.0,2.0,2.0,1.0,1.0,,0.06,0.01,0.07,1230,854.6,69.5,769.1–940.1,1600,1106.3,69.1,995.7–1216.9,,18.6,,15.8–21.4,210,206.3,98.2,196.0–216.6,,8.2,,37.5,0.899,0.899,Low,0.46,9.5,5.0,1,Low,None,False,2,YS: 949.5→854.6,YS 69% of target; UTS 69% of target,434.1
Alloy_E,wrought,20,INCOMPLETE,54.87,12.0,18.0,3.5,3.0,3.0,2.5,2.0,1.0,,,0.06,0.01,0.06,1080,860.3,79.7,774.3–946.3,1560,1147.6,73.6,1032.8–1262.4,,17.8,,15.1–20.5,220,206.8,94.0,196.5–217.1,,8.13,,41.3,0.952,0.907,Moderate,0.483,9.5,5.5,1,Moderate,None,False,15,YS: 955.9→860.3,YS 80% of target; UTS 74% of target,680.0
Alloy_F,wrought,20,INCOMPLETE,55.37,12.5,20.0,1.0,1.5,4.5,2.0,2.0,1.0,,,0.06,0.01,0.06,1150,1096.1,95.3,986.5–1205.7,1600,1387.4,86.7,1248.7–1526.1,,19.1,,16.2–22.0,210,204.4,97.3,194.2–214.6,,7.83,,48.8,0.959,0.9,Moderate,0.56,5.5,6.5,2,Moderate,None,False,4,YS: 863.0→1096.1; UTS: 1222.3→1552.6,UTS 87% of target,557.4
Alloy_G,wrought,20,INCOMPLETE,55.87,13.5,19.0,1.0,1.5,3.0,2.5,2.0,1.0,0.5,,0.06,0.01,0.06,1090,1009.0,92.6,908.1–1109.9,1590,1364.9,85.8,1228.4–1501.4,,19.5,,16.6–22.4,210,206.3,98.2,196.0–216.6,,8.04,,39.9,0.893,0.893,Low,0.65,6.0,5.5,1,Low,None,False,15,YS: 890.3→1009.0; UTS: 1279.6→1450.2,UTS 86% of target,285.1
Alloy_H,wrought,20,INCOMPLETE,53.87,12.0,17.0,3.5,4.0,3.0,2.5,2.0,1.0,1.0,,0.06,0.01,0.06,1040,886.8,85.3,798.1–975.5,1520,1177.7,77.5,1059.9–1295.5,,17.2,,14.6–19.8,210,201.1,95.8,191.0–211.2,,8.22,,42.4,0.960,0.915,Moderate,0.377,11.5,5.5,1,Moderate,None,False,3,YS: 985.3→886.8,YS 85% of target; UTS 77% of target,306.4
Alloy_I,wrought,20,INCOMPLETE,57.89,12.0,15.0,2.5,4.0,2.0,2.0,2.0,0.5,2.0,,0.04,0.01,0.06,830,843.3,101.6,759.0–927.6,1240,1142.7,92.2,1028.4–1257.0,25,20.0,80.0,17.0–23.0,210,200.5,95.5,190.5–210.5,,8.47,,27.1,0.89,0.89,Low,0.426,11.0,4.0,2,Low,3 fixes,False,6,None,El 80% of target,178.2
Alloy_J,wrought,760,INCOMPLETE,58.93,12.0,17.0,4.0,,4.0,1.0,2.0,1.0,,,0.03,0.01,0.03,750,717.7,95.7,645.9–789.5,900,855.4,95.0,769.9–940.9,15,19.2,128.0,16.3–22.1,170,162.5,95.6,154.4–170.6,,7.97,,36.9,0.897,0.897,Low,0.388,7.0,5.0,1,Low,None,False,3,YS: 797.5→717.7,None,162.3
Alloy_K,wrought,871,INCOMPLETE,59.43,12.0,15.0,2.5,3.5,3.0,1.5,2.0,1.0,,,0.03,0.01,0.03,520,508.1,97.7,457.3–558.9,620,625.1,100.8,562.6–687.6,20,20.6,103.0,17.5–23.7,150,147.6,98.4,140.2–155.0,,8.22,,33.5,0.894,0.894,Low,0.44,9.0,4.5,1,Moderate,2 fixes,True,5,UTS: 625.1→579.9,None,207.5
Alloy_L,cast,20,INCOMPLETE,60.3,15.0,13.0,2.0,0.5,3.0,2.0,2.0,1.5,0.5,,0.1,0.02,0.08,850,809.2,95.2,728.3–890.1,1100,976.7,88.8,879.0–1074.4,8,12.2,152.5,10.4–14.0,210,206.7,98.4,196.4–217.0,,8.01,,38.4,0.899,0.899,Low,0.532,6.5,5.0,5,Low,None,False,15,YS: 851.8→809.2,UTS 89% of target,344.3
Alloy_M,cast,760,INCOMPLETE,61.6,10.0,10.0,4.5,2.5,3.2,2.8,2.0,1.2,2.0,,0.1,0.02,0.08,700,867.5,123.9,780.8–954.2,870,1036.3,119.1,932.7–1139.9,8,9.4,117.5,8.0–10.8,175,152.6,87.2,145.0–160.2,,8.18,,49.8,0.959,0.912,Moderate,0.199,12.2,6.0,2,Moderate,None,False,3,None,EM 87% of target,209.6
Alloy_N,cast,871,INCOMPLETE,55.5,14.5,17.5,0.5,1.5,4.5,2.0,1.5,1.0,,1.3,0.1,0.02,0.08,580,518.5,89.4,466.6–570.4,720,706.5,98.1,635.9–777.1,10,15.0,150.0,12.8–17.2,160,151.8,94.9,144.2–159.4,,7.76,,47.5,0.960,0.905,Moderate,0.519,4.5,6.5,5,Moderate,None,False,2,UTS: 706.5→556.3; El: 15.8→15.0,YS 89% of target,526.3
Alloy_O,wrought,20,INCOMPLETE,61.9,12.0,15.0,0.5,2.0,2.5,2.0,2.0,1.0,1.0,,0.04,0.01,0.05,900,802.7,89.2,722.4–883.0,1350,1040.2,77.1,936.2–1144.2,25,22.3,89.2,19.0–25.6,215,200.7,93.3,190.7–210.7,,8.23,,32.6,0.874,0.874,Low,0.631,6.5,4.5,2,Low,2 fixes,False,12,YS: 891.9→802.7,YS 89% of target; UTS 77% of target; El 89% of target,220.2
