alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
PWA*1480(SC),21.0,cast,GPT4.1,SUCCESS,950.0,895.0,1200.0,,6.0,4.0,210.0,127.0,,,,,,
PWA*1480(SC),538.0,cast,GPT4.1,SUCCESS,950.0,881.0,1200.0,,6.0,4.8,182.0,110.0,,,,,,
PWA*1480(SC),649.0,cast,GPT4.1,SUCCESS,950.0,910.0,1200.0,1140.0,6.0,5.5,175.0,105.0,,,,,,
PWA*1480(SC),760.0,cast,GPT4.1,SUCCESS,950.0,905.0,1200.0,1130.0,6.0,7.9,168.0,99.3,,,,,,
PWA*1480(SC),871.0,cast,GPT4.1,SUCCESS,800.0,730.0,950.0,995.0,6.0,12.0,158.0,,,,,,,
PWA*1480(SC),982.0,cast,GPT4.1,SUCCESS,500.0,495.0,650.0,685.0,6.0,19.5,148.0,86.9,,,,,,
PWA*1480(SC),1093.0,cast,GPT4.1,EMPTY,,276.0,,,,32.0,,,,,,,,
RENÉ* N5(SC),21.0,cast,GPT4.1,SUCCESS,1100.0,855.0,1450.0,1078.0,5.0,17.0,210.0,127.0,,,,,,
RENÉ* N5(SC),538.0,cast,GPT4.1,SUCCESS,1100.0,821.0,1450.0,1023.0,5.0,11.0,185.0,110.0,,,,,,
RENÉ* N5(SC),649.0,cast,GPT4.1,EMPTY,,862.0,,1050.0,,9.5,180.0,105.0,,,,,,
RENÉ* N5(SC),760.0,cast,GPT4.1,SUCCESS,1080.0,883.0,1420.0,1126.0,6.0,13.0,175.0,99.3,,,,,,
RENÉ* N5(SC),871.0,cast,GPT4.1,SUCCESS,950.0,793.0,1200.0,954.0,7.0,19.0,165.0,,,,,,,
RENÉ* N5(SC),982.0,cast,GPT4.1,SUCCESS,700.0,621.0,900.0,746.0,8.0,25.0,155.0,86.9,,,,,,
RENÉ* N5(SC),1093.0,cast,GPT4.1,SUCCESS,400.0,345.0,600.0,380.0,10.0,27.0,145.0,,,,,,,
NX188(DS),21.0,cast,GPT4.1,SUCCESS,690.0,960.0,950.0,1040.0,8.0,5.0,210.0,,,,,,,
NX188(DS),538.0,cast,GPT4.1,SUCCESS,690.0,,950.0,1080.0,8.0,4.5,182.0,,,,,,,
NX188(DS),649.0,cast,GPT4.1,SUCCESS,670.0,1050.0,930.0,1195.0,8.0,3.0,175.0,,,,,,,
NX188(DS),760.0,cast,GPT4.1,SUCCESS,650.0,1145.0,900.0,1215.0,8.0,1.5,168.0,,,,,,,
NX188(DS),871.0,cast,GPT4.1,SUCCESS,540.0,1185.0,700.0,595.0,8.0,2.0,158.0,,,,,,,
NX188(DS),982.0,cast,GPT4.1,SUCCESS,320.0,585.0,400.0,395.0,8.0,3.0,148.0,,,,,,,
NX188(DS),1093.0,cast,GPT4.1,EMPTY,,345.0,,,,3.0,,,,,,,,
CMSX-10,20.0,cast,GPT4.1,EMPTY,,950.0,,1155.0,,13.0,,,,,,,,
CMSX-8,20.0,cast,GPT4.1,EMPTY,,950.0,,1100.0,,12.0,,,,,,,,
DD5,20.0,cast,GPT4.1,EMPTY,,850.0,,1100.0,,10.0,,,,,,,,
DD6,20.0,cast,GPT4.1,EMPTY,,1050.0,,1100.0,,10.0,,,,,,,,
DD9,20.0,cast,GPT4.1,EMPTY,,958.0,,1023.0,,9.0,,,,,,,,
DD98M,20.0,cast,GPT4.1,EMPTY,,1000.0,,1190.0,,8.0,,,,,,,,
PWA 1497,20.0,cast,GPT4.1,EMPTY,,850.0,,1100.0,,9.0,,,,,,,,
Rene N500,20.0,cast,GPT4.1,EMPTY,,950.0,,1200.0,,9.0,,,,,,,,
Rene N6,20.0,cast,GPT4.1,EMPTY,,1150.0,,1300.0,,9.0,,,,,,,,
RR3000,20.0,cast,GPT4.1,EMPTY,,1100.0,,1400.0,,10.0,,,,,,,,
RR3010,20.0,cast,GPT4.1,EMPTY,,950.0,,1200.0,,10.0,,,,,,,,
TMS-138,20.0,cast,GPT4.1,EMPTY,,1050.0,,1100.0,,10.0,,,,,,,,
TMS-162,20.0,cast,GPT4.1,EMPTY,,1000.0,,1250.0,,10.0,,,,,,,,
