alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
PWA*1480(SC),21.0,cast,ML_ONLY,SUCCESS,990.7864475026174,895.0,1104.3023297819602,,13.048305800155017,4.0,154.19264135284374,127.0,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),538.0,cast,ML_ONLY,SUCCESS,974.0448003298562,881.0,1103.856284274912,,12.843951678960671,4.8,132.80979290903178,110.0,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),649.0,cast,ML_ONLY,SUCCESS,983.6204907697718,910.0,1102.1687014338495,1140.0,12.720884711198504,5.5,126.39654838546113,105.0,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),760.0,cast,ML_ONLY,SUCCESS,964.0515997778637,905.0,1068.5488364820526,1130.0,13.077832801322764,7.9,122.94453917221094,99.3,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),871.0,cast,ML_ONLY,SUCCESS,708.0427975300586,730.0,821.5918385228397,995.0,15.86774853367785,12.0,118.89693676744487,,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),982.0,cast,ML_ONLY,SUCCESS,445.334043112038,495.0,553.438421141868,685.0,19.145356255303625,19.5,113.13317788345574,86.9,8.27,80.9,MEDIUM,UNKNOWN,0
PWA*1480(SC),1093.0,cast,ML_ONLY,SUCCESS,445.334043112038,276.0,553.438421141868,,19.189756780116983,32.0,112.21483853619344,,8.27,80.9,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),21.0,cast,ML_ONLY,SUCCESS,872.1906229539916,855.0,998.9700283768727,1078.0,11.99709984962151,17.0,150.6135999525104,127.0,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),538.0,cast,ML_ONLY,SUCCESS,873.6762182558052,821.0,1001.3903336029637,1023.0,11.57843660447137,11.0,129.47342524984202,110.0,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),649.0,cast,ML_ONLY,SUCCESS,895.5466317069149,862.0,1001.6938532186098,1050.0,11.158375969255037,9.5,125.40384410007701,105.0,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),760.0,cast,ML_ONLY,SUCCESS,891.1278594545645,883.0,991.9710043836161,1126.0,11.099631132286103,13.0,121.58642667384231,99.3,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),871.0,cast,ML_ONLY,SUCCESS,676.8465749301429,793.0,788.5421094506331,954.0,13.024438490765313,19.0,117.30088575308382,,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),982.0,cast,ML_ONLY,SUCCESS,452.2416651498082,621.0,528.8282569257592,746.0,15.53340846670195,25.0,110.68732035141886,86.9,8.05,64.4,MEDIUM,UNKNOWN,0
RENÉ* N5(SC),1093.0,cast,ML_ONLY,SUCCESS,452.2416651498082,345.0,528.8282569257592,380.0,15.57780899151531,27.0,110.27553013942534,,8.05,64.4,MEDIUM,UNKNOWN,0
NX188(DS),21.0,cast,ML_ONLY,SUCCESS,865.7773251588887,960.0,955.9715203476337,1040.0,12.588896540683882,5.0,158.48164955470946,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),538.0,cast,ML_ONLY,SUCCESS,868.8743601188025,,957.3694546041804,1080.0,12.253843203508085,4.5,140.94956696829172,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),649.0,cast,ML_ONLY,SUCCESS,876.6975370042317,1050.0,954.3076836694893,1195.0,11.472546017485598,3.0,137.9105096386581,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),760.0,cast,ML_ONLY,SUCCESS,859.7522819450801,1145.0,936.900528890435,1215.0,11.3155986457542,1.5,134.6008446757403,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),871.0,cast,ML_ONLY,SUCCESS,650.5035419275708,1185.0,740.0969201847932,595.0,12.721920491496409,2.0,128.24763725628262,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),982.0,cast,ML_ONLY,SUCCESS,438.1541322806443,585.0,496.57416525971644,395.0,15.738640385033591,3.0,121.4091572580241,,7.67,64.3,MEDIUM,UNKNOWN,0
NX188(DS),1093.0,cast,ML_ONLY,SUCCESS,438.1541322806443,345.0,496.57416525971644,,15.768842606624297,3.0,120.90595409923841,,7.67,64.3,MEDIUM,UNKNOWN,0
CMSX-10,20.0,cast,ML_ONLY,SUCCESS,860.5451929922367,950.0,965.8959456849948,1155.0,15.290289900313287,13.0,135.22655951399133,,8.53,76.5,MEDIUM,UNKNOWN,0
CMSX-8,20.0,cast,ML_ONLY,SUCCESS,893.056810679729,950.0,1019.6470519539314,1100.0,13.919333891156008,12.0,136.1706216737751,,8.34,66.2,MEDIUM,UNKNOWN,0
DD5,20.0,cast,ML_ONLY,SUCCESS,890.1690155834582,850.0,1006.9877150880362,1100.0,12.155848390810242,10.0,145.42512979290058,,8.22,64.2,MEDIUM,UNKNOWN,0
DD6,20.0,cast,ML_ONLY,SUCCESS,882.0208012438027,1050.0,1014.4580026434908,1100.0,12.990504117905475,10.0,148.1301416103314,,8.31,61.2,MEDIUM,UNKNOWN,0
DD9,20.0,cast,ML_ONLY,SUCCESS,860.2727861475066,958.0,991.0017709863234,1023.0,13.735544975459238,9.0,149.19098262957402,,8.47,65.6,MEDIUM,UNKNOWN,0
DD98M,20.0,cast,ML_ONLY,SUCCESS,897.8952807167914,1000.0,993.9667719378742,1190.0,13.53586387557646,8.0,146.9095200473422,,8.45,66.4,MEDIUM,UNKNOWN,0
PWA 1497,20.0,cast,ML_ONLY,SUCCESS,861.9412624318813,850.0,986.909938245265,1100.0,16.21251432739699,9.0,150.8424729036512,,8.73,60.3,MEDIUM,UNKNOWN,0
