alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MC-102*,21.0,cast,GPT4.1,SUCCESS,780.0,605.0,1050.0,675.0,6.0,5.0,210.0,,,,,,,
MC-102*,538.0,cast,GPT4.1,SUCCESS,780.0,540.0,1050.0,655.0,6.0,9.0,182.0,,,,,,,
MC-102*,649.0,cast,GPT4.1,SUCCESS,770.0,525.0,1040.0,640.0,6.0,9.0,175.0,,,,,,,
MC-102*,760.0,cast,GPT4.1,SUCCESS,760.0,530.0,1030.0,605.0,6.0,4.0,168.0,,,,,,,
MC-102*,871.0,cast,GPT4.1,SUCCESS,650.0,250.0,800.0,395.0,6.0,11.0,158.0,,,,,,,
MC-102*,982.0,cast,GPT4.1,SUCCESS,400.0,130.0,500.0,250.0,6.0,12.0,148.0,,,,,,,
NIMOCAST* 75,21.0,cast,GPT4.1,SUCCESS,340.0,179.0,690.0,500.0,25.0,39.0,210.0,,,,,,,
NIMOCAST* 242,21.0,cast,GPT4.1,SUCCESS,860.0,300.0,1105.0,460.0,7.0,8.0,208.0,,,,,,,
INCONEL* MA758,21.0,wrought,GPT4.1,SUCCESS,690.0,558.0,1050.0,951.0,18.0,27.0,210.0,,,,,,,
INCONEL* MA758,538.0,wrought,GPT4.1,SUCCESS,690.0,427.0,1050.0,751.0,18.0,24.0,182.0,,,,,,,
INCONEL* MA758,649.0,wrought,GPT4.1,SUCCESS,670.0,379.0,1020.0,558.0,17.0,28.0,175.0,,,,,,,
INCONEL* MA758,760.0,wrought,GPT4.1,SUCCESS,650.0,269.0,980.0,427.0,16.0,41.0,168.0,,,,,,,
INCONEL* MA758,982.0,wrought,GPT4.1,SUCCESS,420.0,152.0,650.0,172.0,14.0,29.0,148.0,,,,,,,
INCONEL* 600,21.0,wrought,GPT4.1,SUCCESS,240.0,285.0,585.0,660.0,40.0,45.0,207.0,214.0,,,,,,
INCONEL* 600,538.0,wrought,GPT4.1,SUCCESS,205.0,220.0,480.0,560.0,38.0,41.0,172.0,184.0,,,,,,
INCONEL* 600,649.0,wrought,GPT4.1,SUCCESS,170.0,205.0,410.0,450.0,36.0,49.0,165.0,176.0,,,,,,
INCONEL* 600,760.0,wrought,GPT4.1,SUCCESS,140.0,180.0,345.0,260.0,34.0,70.0,158.0,168.0,,,,,,
INCONEL* 600,871.0,wrought,GPT4.1,SUCCESS,120.0,75.0,310.0,140.0,32.0,80.0,150.0,157.0,,,,,,
