alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MC-102*,21.0,cast,GPT4.1_ft,SUCCESS,730.0,605.0,730.0,675.0,3.0,5.0,,,,,,,,
MC-102*,538.0,cast,GPT4.1_ft,SUCCESS,730.0,540.0,730.0,655.0,3.0,9.0,,,,,,,,
MC-102*,649.0,cast,GPT4.1_ft,SUCCESS,730.0,525.0,730.0,640.0,3.0,9.0,,,,,,,,
MC-102*,760.0,cast,GPT4.1_ft,SUCCESS,730.0,530.0,730.0,605.0,3.0,4.0,,,,,,,,
MC-102*,871.0,cast,GPT4.1_ft,SUCCESS,730.0,250.0,730.0,395.0,3.0,11.0,,,,,,,,
MC-102*,982.0,cast,GPT4.1_ft,SUCCESS,730.0,130.0,730.0,250.0,3.0,12.0,,,,,,,,
NIMOCAST* 75,21.0,cast,GPT4.1_ft,SUCCESS,310.0,179.0,620.0,500.0,15.0,39.0,197.0,,,,,,,
NIMOCAST* 242,21.0,cast,GPT4.1_ft,SUCCESS,510.0,300.0,730.0,460.0,2.0,8.0,197.0,,,,,,,
INCONEL* MA758,21.0,wrought,GPT4.1_ft,SUCCESS,485.0,558.0,860.0,951.0,3.0,27.0,,,,,,,,
INCONEL* MA758,538.0,wrought,GPT4.1_ft,SUCCESS,485.0,427.0,860.0,751.0,3.0,24.0,,,,,,,,
INCONEL* MA758,649.0,wrought,GPT4.1_ft,SUCCESS,485.0,379.0,860.0,558.0,3.0,28.0,,,,,,,,
INCONEL* MA758,760.0,wrought,GPT4.1_ft,SUCCESS,485.0,269.0,860.0,427.0,3.0,41.0,,,,,,,,
INCONEL* MA758,982.0,wrought,GPT4.1_ft,SUCCESS,140.0,152.0,275.0,172.0,3.0,29.0,,,,,,,,
INCONEL* 600,21.0,wrought,GPT4.1_ft,SUCCESS,310.0,285.0,730.0,660.0,40.0,45.0,214.0,214.0,,,,,,
INCONEL* 600,538.0,wrought,GPT4.1_ft,SUCCESS,205.0,220.0,600.0,560.0,40.0,41.0,181.0,184.0,,,,,,
INCONEL* 600,649.0,wrought,GPT4.1_ft,SUCCESS,180.0,205.0,510.0,450.0,50.0,49.0,172.0,176.0,,,,,,
INCONEL* 600,760.0,wrought,GPT4.1_ft,SUCCESS,140.0,180.0,310.0,260.0,70.0,70.0,162.0,168.0,,,,,,
INCONEL* 600,871.0,wrought,GPT4.1_ft,SUCCESS,70.0,75.0,140.0,140.0,90.0,80.0,150.0,157.0,,,,,,
INCONEL* 600,982.0,wrought,GPT4.1_ft,SUCCESS,35.0,41.0,70.0,76.0,90.0,115.0,138.0,145.0,,,,,,
TD NiCr,21.0,wrought,GPT4.1_ft,SUCCESS,795.0,615.0,930.0,945.0,2.0,20.0,210.0,,,,,,,
TD NiCr,538.0,wrought,GPT4.1_ft,SUCCESS,725.0,450.0,860.0,685.0,18.0,14.5,176.0,,,,,,,
TD NiCr,649.0,wrought,GPT4.1_ft,SUCCESS,725.0,365.0,860.0,435.0,18.0,11.0,168.0,,,,,,,
TD NiCr,760.0,wrought,GPT4.1_ft,SUCCESS,660.0,260.0,795.0,270.0,18.0,5.0,159.0,,,,,,,
TD NiCr,871.0,wrought,GPT4.1_ft,SUCCESS,400.0,180.0,550.0,185.0,18.0,3.0,148.0,,,,,,,
TD NiCr,982.0,wrought,GPT4.1_ft,SUCCESS,140.0,130.0,215.0,140.0,18.0,2.0,136.0,,,,,,,
TD NiCr,1093.0,wrought,GPT4.1_ft,EMPTY,,105.0,,110.0,,1.5,,,,,,,,
HASTELLOY* X,21.0,wrought,GPT4.1_ft,SUCCESS,505.0,360.0,910.0,785.0,30.0,43.0,222.0,197.0,,,,,,
HASTELLOY* X,538.0,wrought,GPT4.1_ft,SUCCESS,310.0,290.0,730.0,650.0,40.0,45.0,188.0,161.0,,,,,,
HASTELLOY* X,649.0,wrought,GPT4.1_ft,SUCCESS,275.0,275.0,660.0,570.0,40.0,37.0,179.0,154.0,,,,,,
HASTELLOY* X,760.0,wrought,GPT4.1_ft,SUCCESS,260.0,260.0,510.0,435.0,50.0,37.0,170.0,146.0,,,,,,
HASTELLOY* X,871.0,wrought,GPT4.1_ft,SUCCESS,170.0,180.0,275.0,255.0,60.0,50.0,157.0,137.0,,,,,,
HASTELLOY* X,982.0,wrought,GPT4.1_ft,SUCCESS,90.0,110.0,140.0,150.0,70.0,45.0,145.0,128.0,,,,,,
HASTELLOY* X,1093.0,wrought,GPT4.1_ft,EMPTY,,55.0,,90.0,,40.0,,,,,,,,
HAYNES* 242,21.0,wrought,GPT4.1_ft,SUCCESS,505.0,845.0,860.0,1290.0,30.0,46.0,222.0,228.0,,,,,,
HAYNES* 242,538.0,wrought,GPT4.1_ft,SUCCESS,460.0,540.0,795.0,1080.0,30.0,50.0,190.0,197.0,,,,,,
HAYNES* 242,649.0,wrought,GPT4.1_ft,SUCCESS,460.0,570.0,795.0,1000.0,30.0,41.0,181.0,190.0,,,,,,
HAYNES* 242,760.0,wrought,GPT4.1_ft,SUCCESS,460.0,310.0,725.0,730.0,30.0,54.0,172.0,177.0,,,,,,
HAYNES* 242,871.0,wrought,GPT4.1_ft,SUCCESS,275.0,310.0,460.0,500.0,30.0,85.0,161.0,166.0,,,,,,
HAYNES* 242,982.0,wrought,GPT4.1_ft,SUCCESS,140.0,210.0,215.0,290.0,30.0,97.0,150.0,154.0,,,,,,
Alloy 718 (AMS 5596 sheet),20.0,wrought,GPT4.1_ft,EMPTY,,860.0,,1100.0,,30.0,,,,,,,,
Alloy 725,20.0,wrought,GPT4.1_ft,EMPTY,,827.0,,1170.0,,35.0,,,,,,,,
Haynes 244,20.0,wrought,GPT4.1_ft,EMPTY,,860.0,,1240.0,,12.0,,,,,,,,
ATI Allegheny Ludlum AL 22™ Nickel-Base Alloy,20.0,wrought,GPT4.1_ft,EMPTY,,345.0,,724.0,,67.0,,207.0,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,21.0,wrought,GPT4.1_ft,SUCCESS,795.0,415,1275.0,790,2.0,50,210.0,,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,93.0,wrought,GPT4.1_ft,EMPTY,,380,,725,,50,207.0,,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,204.0,wrought,GPT4.1_ft,EMPTY,,345,,710,,50,202.0,,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,316.0,wrought,GPT4.1_ft,EMPTY,,315,,675,,55,196.0,,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,427.0,wrought,GPT4.1_ft,EMPTY,,290,,655,,60,190.0,,,,,,,
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,538.0,wrought,GPT4.1_ft,SUCCESS,725.0,270,1175.0,640,18.0,60,183.0,,,,,,,
ATI Allegheny Ludlum AL 600™ Nickel-Base Alloy,20.0,wrought,GPT4.1_ft,EMPTY,,255.0,,640.0,,45.0,,207,,,,,,
ATI Allegheny Ludlum AL 601™ Nickel-Base Alloy,20.0,wrought,GPT4.1_ft,EMPTY,,440.0,,790.0,,45.0,,205.0,,,,,,
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,20.0,wrought,GPT4.1_ft,EMPTY,,485.0,,940.0,,46.0,,,,,,,,
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,21.0,wrought,GPT4.1_ft,SUCCESS,915.0,1200,1275.0,1435,3.0,21,210.0,200,,,,,,
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,204.0,wrought,GPT4.1_ft,EMPTY,,1125,,1365,,20,202.0,190,,,,,,
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,427.0,wrought,GPT4.1_ft,EMPTY,,1080,,1325,,19.5,191.0,178,,,,,,
