alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MC-102*,21.0,cast,LLM_ONLY,SUCCESS,1050,605.0,1400,675.0,20,5.0,200000,,,,LOW,N/A,0,3.9
MC-102*,538.0,cast,LLM_ONLY,SUCCESS,850,540.0,1050,655.0,25,9.0,220000,,,,LOW,N/A,0,1.9
MC-102*,649.0,cast,LLM_ONLY,SUCCESS,850,525.0,1050,640.0,12,9.0,210000,,,,LOW,N/A,0,1.7
MC-102*,760.0,cast,LLM_ONLY,SUCCESS,550,530.0,750,605.0,18,4.0,170,,,,LOW,N/A,0,2.3
MC-102*,871.0,cast,LLM_ONLY,SUCCESS,450,250.0,700,395.0,25,11.0,170,,,,LOW,N/A,0,1.1
MC-102*,982.0,cast,LLM_ONLY,SUCCESS,200,130.0,450,250.0,25,12.0,150,,,,LOW,N/A,0,1.9
NIMOCAST* 75,21.0,cast,LLM_ONLY,SUCCESS,450,179.0,900,500.0,25,39.0,207,,,,LOW,N/A,0,1.9
NIMOCAST* 242,21.0,cast,LLM_ONLY,SUCCESS,850,300.0,1200,460.0,20,8.0,220000,,,,LOW,N/A,0,1.1
INCONEL* MA758,21.0,wrought,LLM_ONLY,SUCCESS,900,558.0,1200,951.0,25,27.0,200000,,,,LOW,N/A,0,1.5
INCONEL* MA758,538.0,wrought,LLM_ONLY,SUCCESS,420,427.0,620,751.0,25,24.0,180,,,,LOW,N/A,0,1.1
INCONEL* MA758,649.0,wrought,LLM_ONLY,SUCCESS,850,379.0,1050,558.0,25,28.0,180,,,,LOW,N/A,0,1.3
INCONEL* MA758,760.0,wrought,LLM_ONLY,SUCCESS,450,269.0,700,427.0,25,41.0,180,,,,LOW,N/A,0,1.4
INCONEL* MA758,982.0,wrought,LLM_ONLY,SUCCESS,120,152.0,250,172.0,25,29.0,150,,,,LOW,N/A,0,1.6
