alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MC-102*,21.0,cast,ML_DETERMINISTIC,SUCCESS,522.8838573103919,605.0,664.3,675.0,29.654441271637882,5.0,198.6852804469193,,8.6,10.2,MEDIUM,Low,0,8.7
MC-102*,538.0,cast,ML_DETERMINISTIC,SUCCESS,463.6538120591045,540.0,589.0,655.0,29.632403547130288,9.0,176.23668051632956,,8.6,10.2,MEDIUM,Low,0,0.1
MC-102*,649.0,cast,ML_DETERMINISTIC,SUCCESS,452.5854256559559,525.0,575.0,640.0,28.28554438365997,9.0,168.782263403973,,8.6,10.2,MEDIUM,Low,0,0.1
MC-102*,760.0,cast,ML_DETERMINISTIC,SUCCESS,416.93135437623494,530.0,529.7,605.0,28.09147420057613,4.0,160.85701822252935,,8.6,10.2,MEDIUM,Low,0,0.1
MC-102*,871.0,cast,ML_DETERMINISTIC,SUCCESS,293.7934486982537,250.0,373.2,395.0,30.073110091875385,11.0,147.7336613407434,,8.6,10.2,MEDIUM,Low,0,0.1
MC-102*,982.0,cast,ML_DETERMINISTIC,SUCCESS,196.75177482480495,130.0,250.0,250.0,32.962690745961304,12.0,138.02201886964554,,8.6,10.2,MEDIUM,Low,0,0.1
NIMOCAST* 75,21.0,cast,ML_DETERMINISTIC,SUCCESS,371.80446972970026,179.0,753.5076147325722,500.0,39.56010744667664,39.0,189.27326733040198,,8.26,0.0,MEDIUM,Low,0,0.1
NIMOCAST* 242,21.0,cast,ML_DETERMINISTIC,SUCCESS,390.06689645072436,300.0,760.0553102625319,460.0,44.949240109556825,8.0,204.06447928037608,,8.38,0.0,MEDIUM,Low,0,0.1
INCONEL* MA758,21.0,wrought,ML_DETERMINISTIC,SUCCESS,453.85538862264184,558.0,828.5237914082021,951.0,40.802425568126594,27.0,194.70815817948997,,8.21,0.0,MEDIUM,Low,0,0.1
INCONEL* MA758,538.0,wrought,ML_DETERMINISTIC,SUCCESS,392.27659908290184,427.0,761.3571871210447,751.0,40.52427882435218,24.0,168.66375364522975,,8.21,0.0,MEDIUM,Low,0,0.1
INCONEL* MA758,649.0,wrought,ML_DETERMINISTIC,SUCCESS,387.9965613945243,379.0,704.9276236986293,558.0,39.78985491224637,28.0,160.55664454128177,,8.21,0.0,MEDIUM,Low,0,0.1
INCONEL* MA758,760.0,wrought,ML_DETERMINISTIC,SUCCESS,362.8619647205951,269.0,583.6486628724598,427.0,41.14287689086653,41.0,152.95526422984466,,8.21,0.0,MEDIUM,Low,0,0.1
INCONEL* MA758,982.0,wrought,ML_DETERMINISTIC,SUCCESS,143.371388636548,152.0,217.26814332246153,172.0,42.85090209819166,29.0,130.18806631364237,,8.21,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,21.0,wrought,ML_DETERMINISTIC,SUCCESS,423.551859846062,285.0,777.1335101857353,660.0,32.64588661037695,45.0,185.33679335667003,214.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,93.0,wrought,ML_DETERMINISTIC,SUCCESS,414.47944163317135,,776.625148369329,,32.63552684627783,,184.47091518905916,210.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,204.0,wrought,ML_DETERMINISTIC,SUCCESS,414.3720380490561,,773.9630301097012,,32.63552684627783,,180.57852399686362,205.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,316.0,wrought,ML_DETERMINISTIC,SUCCESS,410.5576815859341,,757.4098540864697,,32.63552684627783,,175.80859249338383,199.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,427.0,wrought,ML_DETERMINISTIC,SUCCESS,409.63435337352337,,756.8329963105231,,32.65025889568733,,171.33424508840613,192.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,538.0,wrought,ML_DETERMINISTIC,SUCCESS,359.52994257221746,220.0,706.3257026093512,560.0,32.265892860225904,41.0,161.48656570190724,184.0,8.43,0.0,MEDIUM,Low,0,0.1
INCONEL* 600,649.0,wrought,ML_DETERMINISTIC,SUCCESS,363.80686226769376,205.0,652.115612678484,450.0,32.52717070202719,49.0,155.6114104422663,176.0,8.43,0.0,MEDIUM,Low,0,0.1
