alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MAR-M* 247,21.0,cast,ML_DETERMINISTIC,SUCCESS,846.0834231138554,815.0,999.0183234565309,965.0,8.417287272713141,7.0,193.9,,8.13,55.6,MEDIUM,Elevated,0,5.8
MAR-M* 247,538.0,cast,ML_DETERMINISTIC,SUCCESS,845.3981077905546,825.0,1001.925406372108,1035.0,7.927635970515891,,161.8,,8.13,55.6,MEDIUM,Elevated,0,0.1
MAR-M* 247,649.0,cast,ML_DETERMINISTIC,SUCCESS,859.4954097469254,825.0,1002.8231247396801,1050.0,7.41895786892407,,124.8537018622347,,8.13,55.6,MEDIUM,Elevated,0,0.1
MAR-M* 247,760.0,cast,ML_DETERMINISTIC,SUCCESS,865.8999058868455,825.0,995.9796468019472,1035.0,6.906960007555636,,121.10428686215019,,8.13,55.6,MEDIUM,Elevated,0,0.1
MAR-M* 247,871.0,cast,ML_DETERMINISTIC,SUCCESS,693.8855922161968,690.0,791.3691124632735,825.0,6.994361209005463,,119.03038641893923,,8.13,55.6,MEDIUM,Elevated,0,0.1
MAR-M* 247,982.0,cast,ML_DETERMINISTIC,SUCCESS,475.54681786750984,380.0,531.0492201088878,550.0,9.71105944025211,,113.5077090910097,,8.13,55.6,MEDIUM,Elevated,0,0.1
MAR-M* 200,21.0,cast,ML_DETERMINISTIC,SUCCESS,853.6646590965415,840.0,1022.6954690528901,930.0,8.112095389479034,7.0,195.0,218.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,93.0,cast,ML_DETERMINISTIC,SUCCESS,849.9215560691978,,1022.8656045509368,,8.042708907240264,,190.5,215.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,204.0,cast,ML_DETERMINISTIC,SUCCESS,849.8492752215793,,1021.794760423129,,8.042708907240264,,183.6,213.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,316.0,cast,ML_DETERMINISTIC,SUCCESS,848.5951017592758,,1021.9000678376076,,8.007560872999502,,176.6,197.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,427.0,cast,ML_DETERMINISTIC,SUCCESS,848.4701829965979,,1021.9000678376076,,7.9922137514583484,,135.81462982224411,191.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,538.0,cast,ML_DETERMINISTIC,SUCCESS,849.6937852915198,880.0,1025.6045966462013,945.0,7.690917048573857,5.0,162.8,184.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,649.0,cast,ML_DETERMINISTIC,SUCCESS,864.8305419616395,855.0,1025.738794891631,950.0,7.14072470355142,4.0,155.8,176.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,760.0,cast,ML_DETERMINISTIC,SUCCESS,878.8999959635037,840.0,1019.2589831706407,930.0,6.665896060246341,3.5,119.94849584681151,169.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,871.0,cast,ML_DETERMINISTIC,SUCCESS,705.8464764283588,760.0,809.8746538764494,840.0,6.772844806194328,4.0,116.36174685989016,161.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,982.0,cast,ML_DETERMINISTIC,SUCCESS,494.358132793604,470.0,536.581541260254,550.0,9.501826580877509,4.5,110.31616418637984,145.0,8.11,55.2,MEDIUM,Elevated,0,0.1
MAR-M* 200,1093.0,cast,ML_DETERMINISTIC,SUCCESS,494.358132793604,,536.581541260254,325.0,9.58388156453502,,110.31616418637984,,8.11,55.2,MEDIUM,Elevated,0,0.1
TRW-NASA VI A,21.0,cast,ML_DETERMINISTIC,SUCCESS,901.4949052203153,940.0,1044.7691378349543,1050.0,10.283417737260239,4.0,155.09361701686345,,8.25,75.3,MEDIUM,Critical,0,0.1
TRW-NASA VI A,649.0,cast,ML_DETERMINISTIC,SUCCESS,920.9993840046463,945.0,1046.348697045022,1140.0,9.593586596316857,4.0,130.2062086120415,,8.25,75.3,MEDIUM,Critical,0,0.1
TRW-NASA VI A,760.0,cast,ML_DETERMINISTIC,SUCCESS,917.1353179131661,945.0,1031.9885012829495,1095.0,9.279145701494198,4.5,126.27150384921897,,8.25,75.3,MEDIUM,Critical,0,0.1
TRW-NASA VI A,871.0,cast,ML_DETERMINISTIC,SUCCESS,703.8040605698905,770.0,817.0139296135316,870.0,9.803644491957604,2.5,123.16875791279674,,8.25,75.3,MEDIUM,Critical,0,0.1
TRW-NASA VI A,982.0,cast,ML_DETERMINISTIC,SUCCESS,482.93457618741996,520.0,547.8100708036721,595.0,11.807277025026732,,118.65903564244373,,8.25,75.3,MEDIUM,Critical,0,0.1
TRW-NASA VI A,1093.0,cast,ML_DETERMINISTIC,SUCCESS,482.93457618741996,310.0,547.8100708036721,340.0,11.86768177462077,5.0,118.59489694894253,,8.25,75.3,MEDIUM,Critical,0,0.1
IN-738,21.0,cast,ML_DETERMINISTIC,SUCCESS,937.1759117553044,950.0,1103.1079474947933,1095.0,8.01209643040431,,203.16886553028206,201.0,7.86,52.0,MEDIUM,Elevated,0,0.1
IN-738,93.0,cast,ML_DETERMINISTIC,SUCCESS,930.6431663939762,,1103.1703254244808,,7.987860943420055,,202.79181579908922,195.0,7.86,52.0,MEDIUM,Elevated,0,0.1
IN-738,204.0,cast,ML_DETERMINISTIC,SUCCESS,930.27404205362,,1103.1703254244808,,7.987860943420055,,199.00384371743309,190.0,7.86,52.0,MEDIUM,Elevated,0,0.1
IN-738,316.0,cast,ML_DETERMINISTIC,SUCCESS,928.2810801357917,,1102.4987430269039,,7.965825114124181,,192.86628810018675,185.0,7.86,52.0,MEDIUM,Elevated,0,0.1
IN-738,427.0,cast,ML_DETERMINISTIC,SUCCESS,927.8803610785826,,1102.4987430269039,,7.965825114124181,,186.92547730583152,179.0,7.86,52.0,MEDIUM,Elevated,0,0.1
IN-738,538.0,cast,ML_DETERMINISTIC,SUCCESS,896.066731928192,,1101.6461429292476,,7.6512184556427645,,176.60334315249602,175.0,7.86,52.0,MEDIUM,Elevated,0,0.1
