alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MAR-M* 247,21.0,cast,GPT4.1,SUCCESS,880.0,815.0,1120.0,965.0,4.0,7.0,210.0,,,,,,,
MAR-M* 247,538.0,cast,GPT4.1,SUCCESS,880.0,825.0,1120.0,1035.0,4.0,,182.0,,,,,,,
MAR-M* 247,649.0,cast,GPT4.1,SUCCESS,880.0,825.0,1120.0,1050.0,4.0,,175.0,,,,,,,
MAR-M* 247,760.0,cast,GPT4.1,SUCCESS,880.0,825.0,1120.0,1035.0,4.0,,168.0,,,,,,,
MAR-M* 247,871.0,cast,GPT4.1,SUCCESS,760.0,690.0,900.0,825.0,4.0,,158.0,,,,,,,
MAR-M* 247,982.0,cast,GPT4.1,SUCCESS,480.0,380.0,600.0,550.0,4.0,,148.0,,,,,,,
MAR-M* 200,21.0,cast,GPT4.1,SUCCESS,950.0,840.0,1200.0,930.0,4.0,7.0,210.0,218.0,,,,,,
MAR-M* 200,538.0,cast,GPT4.1,SUCCESS,950.0,880.0,1200.0,945.0,4.0,5.0,182.0,184.0,,,,,,
MAR-M* 200,649.0,cast,GPT4.1,SUCCESS,950.0,855.0,1200.0,950.0,4.0,4.0,175.0,176.0,,,,,,
MAR-M* 200,760.0,cast,GPT4.1,SUCCESS,950.0,840.0,1200.0,930.0,4.0,3.5,168.0,169.0,,,,,,
MAR-M* 200,871.0,cast,GPT4.1,SUCCESS,800.0,760.0,950.0,840.0,4.0,4.0,158.0,161.0,,,,,,
MAR-M* 200,982.0,cast,GPT4.1,SUCCESS,480.0,470.0,600.0,550.0,4.0,4.5,148.0,145.0,,,,,,
MAR-M* 200,1093.0,cast,GPT4.1,EMPTY,,,,325.0,,,,,,,,,,
TRW-NASA VI A,21.0,cast,GPT4.1,SUCCESS,880.0,940.0,1120.0,1050.0,6.0,4.0,210.0,,,,,,,
TRW-NASA VI A,649.0,cast,GPT4.1,SUCCESS,880.0,945.0,1120.0,1140.0,6.0,4.0,175.0,,,,,,,
TRW-NASA VI A,760.0,cast,GPT4.1,SUCCESS,880.0,945.0,1120.0,1095.0,6.0,4.5,168.0,,,,,,,
TRW-NASA VI A,871.0,cast,GPT4.1,SUCCESS,750.0,770.0,870.0,870.0,6.0,2.5,158.0,,,,,,,
TRW-NASA VI A,982.0,cast,GPT4.1,SUCCESS,430.0,520.0,570.0,595.0,6.0,,148.0,,,,,,,
TRW-NASA VI A,1093.0,cast,GPT4.1,EMPTY,,310.0,,340.0,,5.0,,,,,,,,
IN-738,21.0,cast,GPT4.1,SUCCESS,880.0,950.0,1080.0,1095.0,7.0,,210.0,201.0,,,,,,
IN-738,649.0,cast,GPT4.1,SUCCESS,870.0,815.0,1070.0,1085.0,7.0,7.0,175.0,168.0,,,,,,
IN-738,760.0,cast,GPT4.1,SUCCESS,860.0,795.0,1050.0,965.0,7.0,6.5,168.0,160.0,,,,,,
IN-738,871.0,cast,GPT4.1,SUCCESS,750.0,550.0,900.0,770.0,7.0,11.0,158.0,151.0,,,,,,
IN-738,982.0,cast,GPT4.1,SUCCESS,420.0,345.0,550.0,455.0,7.0,13.0,148.0,140.0,,,,,,
