alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
MAR-M* 247,21.0,cast,LLM_ONLY,SUCCESS,900,815.0,1200,965.0,20,7.0,220000,,,,LOW,N/A,0,3.8
MAR-M* 247,538.0,cast,LLM_ONLY,SUCCESS,850,825.0,1050,1035.0,20,,210000,,,,LOW,N/A,0,1.3
MAR-M* 247,649.0,cast,LLM_ONLY,SUCCESS,850,825.0,1050,1050.0,12,,220000,,,,LOW,N/A,0,1.5
MAR-M* 247,760.0,cast,LLM_ONLY,SUCCESS,850,825.0,1050,1035.0,12,,180000,,,,LOW,N/A,0,1.6
MAR-M* 247,871.0,cast,LLM_ONLY,SUCCESS,850,690.0,1050,825.0,12,,180,,,,LOW,N/A,0,1.3
MAR-M* 247,982.0,cast,LLM_ONLY,SUCCESS,450,380.0,700,550.0,20,,180,,,,LOW,N/A,0,2.4
MAR-M* 200,21.0,cast,LLM_ONLY,SUCCESS,950,840.0,1250,930.0,20,7.0,220000,218.0,,,LOW,N/A,0,1.4
MAR-M* 200,93.0,cast,LLM_ONLY,SUCCESS,900,,1200,,20,,220000,215.0,,,LOW,N/A,0,1.3
MAR-M* 200,204.0,cast,LLM_ONLY,SUCCESS,850,,1050,,18,,220000,213.0,,,LOW,N/A,0,1.5
MAR-M* 200,316.0,cast,LLM_ONLY,SUCCESS,850,,1050,,20,,220000,197.0,,,LOW,N/A,0,1.2
MAR-M* 200,427.0,cast,LLM_ONLY,SUCCESS,850,,1050,,25,,180,191.0,,,LOW,N/A,0,1.3
MAR-M* 200,538.0,cast,LLM_ONLY,SUCCESS,850,880.0,1050,945.0,12,5.0,190000,184.0,,,LOW,N/A,0,2.1
MAR-M* 200,649.0,cast,LLM_ONLY,SUCCESS,850,855.0,1050,950.0,12,4.0,190000,176.0,,,LOW,N/A,0,1.7
MAR-M* 200,760.0,cast,LLM_ONLY,SUCCESS,850,840.0,1050,930.0,12,3.5,210000,169.0,,,LOW,N/A,0,1.4
MAR-M* 200,871.0,cast,LLM_ONLY,SUCCESS,850,760.0,1050,840.0,12,4.0,180,161.0,,,LOW,N/A,0,1.4
MAR-M* 200,982.0,cast,LLM_ONLY,SUCCESS,450,470.0,700,550.0,12,4.5,180000,145.0,,,LOW,N/A,0,1.6
MAR-M* 200,1093.0,cast,LLM_ONLY,SUCCESS,150,,300,325.0,20,,140,,,,LOW,N/A,0,1.8
TRW-NASA VI A,21.0,cast,LLM_ONLY,SUCCESS,900,940.0,1200,1050.0,12,4.0,220000,,,,LOW,N/A,0,1.5
TRW-NASA VI A,649.0,cast,LLM_ONLY,SUCCESS,850,945.0,1050,1140.0,12,4.0,180,,,,LOW,N/A,0,1.8
TRW-NASA VI A,760.0,cast,LLM_ONLY,SUCCESS,850,945.0,1050,1095.0,12,4.5,180,,,,LOW,N/A,0,1.3
TRW-NASA VI A,871.0,cast,LLM_ONLY,SUCCESS,850,770.0,1050,870.0,12,2.5,180,,,,LOW,N/A,0,1.3
TRW-NASA VI A,982.0,cast,LLM_ONLY,SUCCESS,220,520.0,380,595.0,25,,140,,,,LOW,N/A,0,1.3
TRW-NASA VI A,1093.0,cast,LLM_ONLY,SUCCESS,250,310.0,550,340.0,20,5.0,150,,,,LOW,N/A,0,1.4
IN-738,21.0,cast,LLM_ONLY,SUCCESS,950,950.0,1250,1095.0,20,,210,201.0,,,LOW,N/A,0,1.8
IN-738,93.0,cast,LLM_ONLY,SUCCESS,900,,1200,,25,,220000,195.0,,,LOW,N/A,0,1.8
IN-738,204.0,cast,LLM_ONLY,SUCCESS,900,,1200,,20,,210,190.0,,,LOW,N/A,0,1.9
IN-738,316.0,cast,LLM_ONLY,SUCCESS,900,,1050,,20,,200,185.0,,,LOW,N/A,0,1.5
IN-738,427.0,cast,LLM_ONLY,SUCCESS,850,,1050,,12,,210000,179.0,,,LOW,N/A,0,1.5
