alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
MAR-M* 247,21.0,cast,ML_ONLY,SUCCESS,846.0834231138552,815.0,999.018323456531,965.0,8.417287272713141,7.0,149.04371164748204,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 247,538.0,cast,ML_ONLY,SUCCESS,845.3981077905546,825.0,1001.925406372108,1035.0,7.927635970515891,,126.93187072852513,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 247,649.0,cast,ML_ONLY,SUCCESS,859.4954097469254,825.0,1002.8231247396801,1050.0,7.41895786892407,,124.8537018622347,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 247,760.0,cast,ML_ONLY,SUCCESS,865.8999058868455,825.0,995.9796468019472,1035.0,6.906960007555637,,121.10428686215019,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 247,871.0,cast,ML_ONLY,SUCCESS,693.8855922161968,690.0,791.3691124632735,825.0,6.994361209005463,,119.03038641893923,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 247,982.0,cast,ML_ONLY,SUCCESS,475.54681786750984,380.0,531.0492201088878,550.0,9.71105944025211,,113.5077090910097,,8.13,55.6,MEDIUM,UNKNOWN,0
MAR-M* 200,21.0,cast,ML_ONLY,SUCCESS,853.6646590965415,840.0,1022.69546905289,930.0,8.112095389479034,7.0,143.573225084189,218.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,93.0,cast,ML_ONLY,SUCCESS,849.9215560691978,,1022.8656045509368,,8.042708907240264,,143.1695385607515,215.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,204.0,cast,ML_ONLY,SUCCESS,849.8492752215793,,1021.794760423129,,8.042708907240264,,140.42439286104664,213.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,316.0,cast,ML_ONLY,SUCCESS,848.5951017592758,,1021.9000678376076,,8.007560872999502,,138.286800406805,197.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,427.0,cast,ML_ONLY,SUCCESS,848.4701829965979,,1021.9000678376076,,7.9922137514583484,,135.81462982224411,191.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,538.0,cast,ML_ONLY,SUCCESS,849.6937852915198,880.0,1025.6045966462013,945.0,7.690917048573857,5.0,125.76980366385698,184.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,649.0,cast,ML_ONLY,SUCCESS,864.8305419616395,855.0,1025.738794891631,950.0,7.14072470355142,4.0,123.67167049071595,176.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,760.0,cast,ML_ONLY,SUCCESS,878.8999959635037,840.0,1019.2589831706407,930.0,6.665896060246341,3.5,119.94849584681151,169.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,871.0,cast,ML_ONLY,SUCCESS,705.8464764283588,760.0,809.8746538764494,840.0,6.772844806194328,4.0,116.36174685989016,161.0,8.11,55.2,MEDIUM,UNKNOWN,0
MAR-M* 200,982.0,cast,ML_ONLY,SUCCESS,494.358132793604,470.0,536.581541260254,550.0,9.501826580877509,4.5,110.31616418637984,145.0,8.11,55.2,MEDIUM,UNKNOWN,0
